tweet_avatar,tweet_id,url,query,text,username,fullname,timestamp,language,in_reply_to,replies,retweets,quotes,images,likes,banner_image,total_tweets,num_following,num_followers,total_likes,tweet_links,tweet_hashtags,tweet_mentions
https://pbs.twimg.com/profile_images/1598573955513692160/leorpOyo_400x400.jpg,1715331555806388636,https://twitter.com/Bisniscom/status/1715331555806388636,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Rekomendasi Sektor Saham Defensif saat Suku Bunga Acuan BI Naik market.bisnis.com/read/20231…,@Bisniscom,Bisnis.com,2023-10-20 11:38:00+00:00,,[],0,0,0,[],1,,,,,,['https://market.bisnis.com/read/20231020/189/1706343/rekomendasi-sektor-saham-defensif-saat-suku-bunga-acuan-bi-naik?utm_source=dlvr.it&utm_medium=twitter'],[],[]
https://pbs.twimg.com/profile_images/1689440161510387713/_75yxlWd_400x400.jpg,1715328865030258896,https://twitter.com/W_illiam_Lim/status/1715328865030258896,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Perang, Pilpress beberapa negara, Pemulihan Ekonomi sehabis Pandemi, Inflasi dan suku bunga yang naik terus",@W_illiam_Lim,WL-XINFIN,2023-10-20 11:27:00+00:00,,"['@HDN_sol', '@anggaandinata']",0,0,0,[],0,,,,,,[],[],[]
https://pbs.twimg.com/profile_images/1699757721359368192/9LvpRr-B_400x400.jpg,1715323417212408221,https://twitter.com/investortrustid/status/1715323417212408221,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Suku bunga The Fed Memuncak, Laba Blackstone Inc Turun 12%
investortrust.id/news/suku-b…",@investortrustid,investortrust.id,2023-10-20 11:05:00+00:00,,[],0,0,0,[],0,,,,,,['https://www.investortrust.id/news/suku-bunga-the-fed-memuncak-laba-blackstone-inc-turun-12'],[],[]
https://pbs.twimg.com/profile_images/1704339888932634624/yHr6HV5l_400x400.jpg,1709756637387575719,https://twitter.com/r_kapau/status/1709756637387575719,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Sepengetahuan saya yg boleh menentukan suku bunga adalah bank central yaitu @bank_indonesia baik bunga perbankan, pembiayaan. Semenjak dibentuk ojk ada afpi fintech jadi kacau balau.",@r_kapau,kapau,2023-10-05 02:25:00+00:00,,[],4,1,0,[],7,,,,,,[],[],['bank_indonesia']
https://pbs.twimg.com/profile_images/1582729856290541568/s8G4Vzm4_400x400.jpg,1715311196822491370,https://twitter.com/blubybcadigital/status/1715311196822491370,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Suku bunga bluSaving saat ini 3%. Penghitungan bunga berdasarkan saldo akhir harian masing-masing bluSaving. Bunga akan dikreditkan ke bluSaving setiap akhir bulan dari bulan yang bersangkutan. (2/2),@blubybcadigital,blu,2023-10-20 10:17:00+00:00,,['@stdbeom'],1,0,0,[],0,,,,,,[],[],[]
https://pbs.twimg.com/profile_images/1662499820140130304/o6KZ4EMj_400x400.jpg,1715303895390707817,https://twitter.com/anniesbaswedan/status/1715303895390707817,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Suku Bunga BI Naik, Begini Arah Rupiah, IHSG, & Rekomendasi Saham Buat Investor dlvr.it/Sxj6MG",@anniesbaswedan,Aniesbansedanquote,2023-10-20 09:48:00+00:00,,[],0,0,0,[],0,,,,,,['http://dlvr.it/Sxj6MG'],[],[]
https://pbs.twimg.com/profile_images/1662499820140130304/o6KZ4EMj_400x400.jpg,1715303873731318228,https://twitter.com/anniesbaswedan/status/1715303873731318228,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Sorotan Pasar 20 Okt 23: Kenaikan Suku Bunga BI hingga RUPO WIKA - Data Indonesia dlvr.it/Sxj6LJ,@anniesbaswedan,Aniesbansedanquote,2023-10-20 09:48:00+00:00,,[],0,0,0,[],0,,,,,,['http://dlvr.it/Sxj6LJ'],[],[]
https://pbs.twimg.com/profile_images/1642333344796119041/3Zmo9XV__400x400.jpg,1715303858623434792,https://twitter.com/KATADATAcoid/status/1715303858623434792,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Bank Mandiri Optimis Kredit Tumbuh Dua Digit Meski Suku Bunga BI Naik dlvr.it/Sxj6K1,@KATADATAcoid,Katadata.co.id,2023-10-20 09:48:00+00:00,,[],0,0,0,[],0,,,,,,['http://dlvr.it/Sxj6K1'],[],[]
https://pbs.twimg.com/profile_images/1488713842851196930/-6pj-tSF_400x400.jpg,1715303215015821621,https://twitter.com/SekuritasBahana/status/1715303215015821621,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Bank Indonesia (BI) secara mengejutkan memutuskan untuk menaikkan suku bunga acuannya sebesar 25 basis poin (bps) menjadi 6,00%.

Kenaikan yang mengejutkan ini menandai perubahan yang sangat cepat di ekonomi global, termasuk dalam menentukan suku bunga. 

cnbcindonesia.com/research/2…",@SekuritasBahana,Bahana Sekuritas,2023-10-20 09:45:00+00:00,,[],0,1,0,['https://pbs.twimg.com/media/F837LhnbYAAXQw-.jpg?format=jpg&name=medium'],0,,,,,,['https://www.cnbcindonesia.com/research/20231020033136-128-482130/bi-kagetin-pasar-suku-bunga-masih-bisa-naik-lagi'],[],[]
https://pbs.twimg.com/profile_images/1637435293027667969/CM3GSWGh_400x400.jpg,1715302981783154764,https://twitter.com/Mikirduitcom/status/1715302981783154764,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Soal hubungan kenapa suku bunga naik ekonomi melambat bisa disimak di sini: piped.kavin.rocks/watch?v=QIZ29Tq4…,@Mikirduitcom,mikir duit,2023-10-20 09:44:00+00:00,,[],1,0,0,[],0,,,,,,['https://youtube.com/watch?v=QIZ29Tq4pWk&t=208s'],[],[]
